country_of_bean_origin,n_count,avg_pct
Venezuela,253,72.01778656126483
Peru,244,70.95081967213115
Dominican Republic,226,71.52654867256638
Ecuador,219,73.27625570776256
Madagascar,177,71.23728813559322
Blend,156,71.92628205128206
Nicaragua,100,71.42
Bolivia,80,71.5875
Tanzania,79,72.26582278481013
Colombia,79,70.9873417721519
Brazil,78,71.38461538461539
Belize,76,72.85526315789474
Vietnam,73,72.35616438356165
Guatemala,62,71.54838709677419
Mexico,55,71.2909090909091
Papua New Guinea,50,70.68
Costa Rica,43,71.51162790697674
Trinidad,42,71.76190476190476
Ghana,41,71.04878048780488
India,35,69.57142857142857
U.S.A.,33,69.24242424242425
Haiti,30,70.96666666666667
Honduras,25,72.76
Philippines,24,71.0625
Jamaica,24,71.625
Indonesia,20,72.55
Grenada,19,69.36842105263158
Uganda,19,72.1842105263158
Fiji,16,72.5625
Sao Tome,14,71.07142857142857
Vanuatu,13,71.0
Cuba,12,74.33333333333333
Congo,11,70.45454545454545
Solomon Islands,10,71.8
St. Lucia,10,71.9
Panama,9,72.11111111111111
Malaysia,8,71.625
Puerto Rico,7,68.28571428571429
Ivory Coast,7,71.0
El Salvador,6,71.66666666666667
Thailand,5,70.0
Sierra Leone,4,71.0
Cameroon,3,69.33333333333333
Togo,3,70.0
Australia,3,69.0
Liberia,3,70.66666666666667
Samoa,3,82.33333333333333
Nigeria,3,68.33333333333333
Sri Lanka,2,72.5
Taiwan,2,70.0
Sao Tome & Principe,2,72.5
Tobago,2,65.0
Martinique,1,42.0
Burma,1,70.0
Gabon,1,75.0
DR Congo,1,68.0
China,1,72.0
Suriname,1,70.0
Sumatra,1,70.0
Sulawesi,1,66.0
St.Vincent-Grenadines,1,72.0
Principe,1,77.0
