image,breed,rank,affectionate_with_family,good_with_young_children,barking_level,shedding_level,trainability_level
https://www.akc.org/wp-content/uploads/2017/11/Labrador-Retriever-illustration.jpg,Retrievers_(Labrador),1.0,5,5,3,4,5
https://www.akc.org/wp-content/uploads/2017/11/German-Shepherd-Dog-Illo-2.jpg,German_Shepherd_Dogs,2.0,5,5,3,4,5
https://www.akc.org/wp-content/uploads/2017/11/Golden-Retriever-Illo-2.jpg,Retrievers_(Golden),3.0,5,5,1,4,5
https://www.akc.org/wp-content/uploads/2017/11/French-Bulldog-Illo-2.jpg,French_Bulldogs,4.0,5,5,1,3,4
https://www.akc.org/wp-content/uploads/2017/11/Bulldog-Illo-2.jpg,Bulldogs,4.0,4,3,2,3,4
https://www.akc.org/wp-content/uploads/2017/11/Beagle-Illo-2.jpg,Beagles,5.0,3,5,4,3,3
https://www.akc.org/wp-content/uploads/2017/11/Standard-Poodle-illustration.jpg,Poodles,6.0,5,5,4,1,5
https://www.akc.org/wp-content/uploads/2017/11/Rottweiler-Illo-2.jpg,Rottweilers,7.0,5,3,1,3,5
https://www.akc.org/wp-content/uploads/2017/11/Yorkshire-Terrier-Illo-2.jpg,Yorkshire_Terriers,8.0,5,5,4,1,4
https://www.akc.org/wp-content/uploads/2017/11/Boxer-Illo-2.jpg,Boxers,9.0,4,5,3,2,4
