,status_code,facility_type,n_size
9,Temporarily Unavailable,fuel reseller,27
6,Temporarily Unavailable,convenience store,14
30,Temporarily Unavailable,travel center,13
12,Temporarily Unavailable,hotel,9
14,Temporarily Unavailable,muni gov,8
4,Temporarily Unavailable,car dealer,8
27,Temporarily Unavailable,standalone station,8
10,Temporarily Unavailable,gas station,6
20,Temporarily Unavailable,parking lot,5
25,Temporarily Unavailable,shopping center,3
3,Temporarily Unavailable,campground,3
23,Temporarily Unavailable,restaurant,3
22,Temporarily Unavailable,rec sports facility,3
21,Temporarily Unavailable,pay garage,3
32,Temporarily Unavailable,utility,3
